RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-04-06;DCON23;BRBMEFDCO2H7;FINANCIAL;;;;;93343,78;;;
2020-04-06;DCON24;BRBMEFDCO2G9;FINANCIAL;;;;;91076,62;;;
2020-04-06;DCON25;BRBMEFDCO2U0;FINANCIAL;;;;;88444,44;;;
2020-04-06;DCON26;BRBMEFDCO2V8;FINANCIAL;;;;;85970,85;;;
2020-04-06;DCOQ20;BRBMEFDCO370;FINANCIAL;;;;;99242,2;;;
2020-04-06;DCOU20;BRBMEFDCO388;FINANCIAL;;;;;99115,78;;;
2020-04-06;DCOV20;BRBMEFDCO1G1;FINANCIAL;;;;;98952,97;;;
2020-04-06;DCOV21;BRBMEFDCO255;FINANCIAL;;;;;96703,54;;;
2020-04-06;DCOV22;BRBMEFDCO2I5;FINANCIAL;;;;;94868,16;;;
2020-04-06;DCOV23;BRBMEFDCO2Y2;FINANCIAL;;;;;92990,53;;;
2020-04-06;DCOV24;BRBMEFDCO396;FINANCIAL;;;;;90446,63;;;
2020-04-06;DCOX20;BRBMEFDCO3A0;FINANCIAL;;;;;98789,85;;;
2020-04-06;DCOZ20;BRBMEFDCO3B8;FINANCIAL;;;;;98592,73;;;
2020-04-06;DDIF21;BRBMEFDDI2I2;FINANCIAL;;;;;98366,38;;;
2020-04-06;DDIF22;BRBMEFDDI1P9;FINANCIAL;;;;;96203,93;;;
2020-04-06;DDIF23;BRBMEFDDI388;FINANCIAL;;;;;94383,8;;;
2020-04-06;DDIF24;BRBMEFDDI362;FINANCIAL;;;;;92263,07;;;
2020-04-06;DDIF25;BRBMEFDDI321;FINANCIAL;;;;;89687,26;;;
2020-04-06;DDIF26;BRBMEFDDI4C1;FINANCIAL;;;;;87067,25;;;
2020-04-06;DDIF27;BRBMEFDDI4X7;FINANCIAL;;;;;84548,96;;;
2020-04-06;DDIF28;BRBMEFDDI4Z2;FINANCIAL;;;;;82023,02;;;
2020-04-06;DDIF29;BRBMEFDDI4W9;FINANCIAL;;;;;79540,96;;;
2020-04-06;DDIF30;BRBMEFDDI4Y5;FINANCIAL;;;;;77130,74;;;
2020-04-06;DDIF31;BRBMEFDDI693;FINANCIAL;;;;;74566,6;;;
2020-04-06;DDIF33;BRBMEFDDI6L7;FINANCIAL;;;;;70603,33;;;
2020-04-06;DDIF35;BRBMEFDDI6K9;FINANCIAL;;;;;66621,76;;;
2020-04-06;DDIG21;BRBMEFDDI6M5;FINANCIAL;;;;;98177,66;;;
2020-04-06;DDIH21;BRBMEFDDI6N3;FINANCIAL;;;;;98073;;;
2020-04-06;DDIJ21;BRBMEFDDI586;FINANCIAL;;;;;97789,95;;;
2020-04-06;DDIJ22;BRBMEFDDI5I5;FINANCIAL;;;;;95665,17;;;
2020-04-06;DDIJ23;BRBMEFDDI5W6;FINANCIAL;;;;;93824,18;;;
2020-04-06;DDIJ24;BRBMEFDDI6D4;FINANCIAL;;;;;91795,15;;;
2020-04-06;DDIJ25;BRBMEFDDI6O1;FINANCIAL;;;;;89053,74;;;
2020-04-06;DDIK20;BRBMEFDDI6C6;FINANCIAL;;;;;99643,5;;;
2020-04-06;DDIM20;BRBMEFDDI6E2;FINANCIAL;;;;;99535,5;;;
2020-04-06;DDIN20;BRBMEFDDI479;FINANCIAL;;;;;99396,88;;;
2020-04-06;DDIN21;BRBMEFDDI487;FINANCIAL;;;;;97294,09;;;
2020-04-06;DDIN22;BRBMEFDDI5K1;FINANCIAL;;;;;95373,74;;;
2020-04-06;DDIN23;BRBMEFDDI5O3;FINANCIAL;;;;;93343,78;;;
2020-04-06;DDIN24;BRBMEFDDI5N5;FINANCIAL;;;;;91076,62;;;
2020-04-06;DDIN25;BRBMEFDDI628;FINANCIAL;;;;;88444,44;;;
2020-04-06;DDIN26;BRBMEFDDI636;FINANCIAL;;;;;85970,85;;;
2020-04-06;DDIQ20;BRBMEFDDI6F9;FINANCIAL;;;;;99242,2;;;
2020-04-06;DDIU20;BRBMEFDDI6G7;FINANCIAL;;;;;99115,78;;;
2020-04-06;DDIV20;BRBMEFDDI4M0;FINANCIAL;;;;;98952,97;;;
2020-04-06;DDIV21;BRBMEFDDI5C8;FINANCIAL;;;;;96703,54;;;
2020-04-06;DDIV22;BRBMEFDDI5P0;FINANCIAL;;;;;94868,16;;;
2020-04-06;DDIV23;BRBMEFDDI669;FINANCIAL;;;;;92990,53;;;
2020-04-06;DDIV24;BRBMEFDDI6H5;FINANCIAL;;;;;90446,63;;;
2020-04-06;DDIX20;BRBMEFDDI6I3;FINANCIAL;;;;;98789,85;;;
2020-04-06;DDIZ20;BRBMEFDDI6J1;FINANCIAL;;;;;98592,73;;;
2020-04-06;DI1F21;BRBMEFD1I2P5;FINANCIAL;3,15;3,35;3,239;3,255;97649,54;;5038;228135
2020-04-06;DI1F22;BRBMEFD1I1N2;FINANCIAL;4,02;4,3;4,091;4,13;93176,04;;11635;217675
2020-04-06;DI1F23;BRBMEFD1I355;FINANCIAL;5,3;5,61;5,374;5,45;86423,03;;11512;163995
2020-04-06;DI1F24;BRBMEFD1I348;FINANCIAL;6,25;6,59;6,358;6,41;79096,2;;3101;34640
2020-04-06;DI1F25;BRBMEFD1I2Z4;FINANCIAL;6,85;7,19;6,959;7,01;72407,63;;9740;111635
2020-04-06;DI1F26;BRBMEFD1I4F2;FINANCIAL;7,3;7,6;7,398;7,4;66055,47;;76;640
2020-04-06;DI1F27;BRBMEFD1I4Z0;FINANCIAL;7,62;7,97;7,723;7,77;60206,91;;5308;46765
2020-04-06;DI1F28;BRBMEFD1I4Y3;FINANCIAL;7,98;7,99;7,98;7,99;54935,75;;19;135
2020-04-06;DI1F29;BRBMEFD1I4K2;FINANCIAL;8,08;8,42;8,174;8,19;50027,74;;1913;16215
2020-04-06;DI1F30;BRBMEFD1I504;FINANCIAL;8,24;8,24;8,24;8,24;45811,13;;2;10
2020-04-06;DI1F31;BRBMEFD1I686;FINANCIAL;8,31;8,64;8,401;8,4;41683,17;;41;220
2020-04-06;DI1F33;BRBMEFD1I678;FINANCIAL;;;;;34597,57;;;
2020-04-06;DI1F35;BRBMEFD1I6J9;FINANCIAL;;;;;28768,3;;;
2020-04-06;DI1G21;BRBMEFD1I6K7;FINANCIAL;3,205;3,28;3,212;3,28;97396,26;;6;1165
2020-04-06;DI1H21;BRBMEFD1I6L5;FINANCIAL;3,23;3,325;3,254;3,28;97146,91;;33;1270
2020-04-06;DI1J21;BRBMEFD1I439;FINANCIAL;3,27;3,465;3,325;3,36;96794,33;;832;24835
